,PR_PRL,RP,RD_SYM,QT_QTF,UNS,QT_QTC,PR_PRC,DM,RD_RDF,RP_RPD,RD_ECH,PR_PRP,RD_UNK,CC_CCD,RD_PUNC,RD,N_NST,PR_PRQ,RB,CC_CCS,N_NN,N_NNP,RP_INTF,DM_DMD,UNE,V_VAUX,RP_NEG,QT,PR,DM_DMQ,V,DM_DMR,CC_CCS_UT,V_VM,CC,PR_PRF,RP_INJ
PR_PRL,0,0,0,0,0,0,0,0.0204081632653061,0,0,0,0,0,0,0,0,0,0,0,0,0.00462784419591207,0,0,0.00537634408602150,0,0.0263157894736842,0,0,0,0,0,0,0,0.007197943444730077,0,0,0
RP,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01754385964912280,0,0,0,0,0,0,0,0,0,0,0
RD_SYM,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
QT_QTF,0,0,0,0.0551724137931034,0,0.003546099290780141,0,0,0.006976744186046511,0,0,0.01589403973509933,0,0.02836879432624113,0,0,0.00921658986175115,0.01086956521739130,0.01427003293084522,0.0606060606060606,0.01234091785576552,0.0376344086021505,0.07,0.00537634408602150,0,0,0,0,0,0,0,0.,0.0689655172413793,0.000514138817480719,0,0,0
UNS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
QT_QTC,0.0312,0,0,0,0.00,0.0354609929078014,0,0.0816326530612244,0.00930232558139534,0,0.,0.0437086092715231,0,0.03073286052009456,0,0,0.0230414746543778,0,0.0933040614709110,0.0606060606060606,0.02815271885846509,0.00430107526881720,0,0.02150537634408602,0,0.00877192982456140,0,0,0,0.04545454545454545,0,0,0,0.01336760925449871,0,0,0.12
PR_PRC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001542614731970690,0,0,0,0,0,0,0,0,0,0,0,0,0.000514138817480719,0,0,0
DM,0.0312,0,0,0,0,0,0,0,0,0,0,0.00529801324503311,0,0.0212765957446808,0,0,0,0.01086956521739130,0.002195389681668496,0,0.001156961048978017,0,0,0,0,0.0526315789473684,0,0,0,0,0,0,0,0.00771208226221079,0,0,0
RD_RDF,0,0,0,0.04137931034482758,0.0,0.0567375886524822,0,0.06122448979591836,0.553488372093023,0,0,0.0437086092715231,0,0.0118203309692671,0,0,0.00460829493087557,0.01086956521739130,0.00987925356750823,0.01515151515151515,0.00617045892788276,0.00430107526881720,0,0.01612903225806451,0,0,0,0,0,0,0,0,0,0.01131105398457583,0,0.062,0
RP_RPD,0,0,0,0,0,0,0,0,0,0,0,0,0,0.007092198581560283,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001028277634961439,0,0,0
RD_ECH,0,0,0,0.01379310344827586,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PR_PRP,0.437,0,0,0.00689655172413793,0.00,0.007092198581560283,0,0,0.00930232558139534,0.,0,0.05298013245033112,0,0.3522458628841607,0,0,0.00921658986175115,0.02173913043478260,0.1909989023051591,0.333333333333333,0.0451214809101426,0.02580645161290322,0.0,0.01612903225806451,0,0.1754385964912280,0.03448275862068965,0,0,0,0,0,0.241379310344827,0.0704370179948586,0.,0.062,0
RD_UNK,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CC_CCD,0,0,0,0,0.01,0,0,0,0.00232558139534883,0,0,0.001324503311258278,0,0,0,0,0,0.0326086956521739,0.001097694840834248,0.01515151515151515,0.01156961048978017,0.0688172043010752,0,0,0,0.4210526315789473,0,0,0,0,0,0,0,0.1331619537275064,0,0,0
RD_PUNC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RD,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
